Age,Gender,Height,Weight,BMI,Fat%,Workout_Frequency,Goal,Diet_Type
30.0,0,1.66,106.2,38.5,24.0,2.0,Maintain,Balanced / Plant / Based
48.0,0,1.53,99.3,42.4,30.0,4.0,Muscle Gain,High Protein
50.0,0,1.82,108.0,32.6,18.0,6.0,Muscle Gain,Balanced / Plant-Based
56.0,1,1.71,80.3,27.5,16.0,2.0,Muscle Gain,High Protein
54.0,0,1.87,98.2,28.1,24.0,6.0,Maintain,Balanced / Plant-Based
41.0,1,1.51,92.5,40.6,19.0,1.0,Weight Loss,Low Carb / Low Fat
32.0,0,1.86,81.0,23.4,30.0,5.0,Maintain,Balanced / Plant-Based
59.0,0,1.58,108.8,43.6,17.0,6.0,Weight Loss,Low Carb / Low Fat
46.0,0,1.57,74.2,30.1,24.0,1.0,Maintain,Balanced / Plant-Based
43.0,1,1.69,50.0,17.5,16.0,3.0,Weight Loss,Low Carb / Low Fat
44.0,0,1.81,80.3,24.5,11.0,6.0,,Balanced / Plant-Based
59.0,1,1.55,69.6,29.0,27.0,3.0,Muscle Gain,Balanced / Plant-Based
51.0,0,1.85,85.1,24.9,,5.0,MUSCLE gain,Balanced / Plant-Based
30.0,1,1.7,76.6,26.5,11.0,6.0,UNKNOWN_@@@,??
38.0,1,1.81,89.5,27.3,32.0,6.0,Weight Loss,Balanced / Plant-Based
20.0,1,1.97,62.2,16.0,33.0,2.0,Weight Loss,Low Carb / Low Fat
28.0,1,1.77,101.9,32.5,24.0,5.0,Weight Loss,Low Carb / Low Fat
22.0,1,1.64,96.5,,14.0,,Weight Loss,Balanced / Plant-Based
41.0,0,1.72,73.6,24.9,25.0,5.0,Maintain,Balanced / Plant-Based
43.0,0,1.68,60.7,21.5,33.0,4.0,Weight Loss,Low Carb / Low Fat
27.0,1,1.56,115.2,47.3,25.0,5.0,,Low Carb / Low Fat
42.0,0,1.61,118.9,45.9,30.0,1.0,Weight Loss,Balanced / Plant-Based
52.0,0,1.69,64.0,22.4,22.0,4.0,Muscle Gain,High Protein
33.0,0,1.79,75.0,23.4,16.0,4.0,Muscle Gain,Balanced / Plant-Based
32.0,1,1.97,86.6,22.3,11.0,4.0,Weight Loss,Low Carb / Low Fat
35.0,1,1.78,56.3,17.8,21.0,6.0,Weight Loss,Low Carb / Low Fat
31.0,1,1.74,53.7,17.7,14.0,6.0,Weight Loss,Balanced / Plant-Based
52.0,1,1.58,79.6,31.9,14.0,5.0,WL,Low Carb / Low Fat
29.0,1,1.55,86.9,36.2,15.0,4.0,Muscle Gain,Balanced / Plant-Based
23.0,1,1.64,82.3,30.6,12.0,6.0,Weight Loss,Low Carb / Low Fat
28.0,0,1.99,66.0,16.7,34.0,5.0,Muscle Gain,Balanced / Plant-Based
50.0,0,1.53,68.9,29.4,11.0,6.0,Weight Loss,Low Carb / Low Fat
49.0,0,1.86,117.4,33.9,17.0,5.0,Weight Loss,Low Carb / Low Fat
25.0,0,1.93,80.7,115.1,30.0,6.0,Maintain,Balanced / Plant-Based
32.0,1,1.55,67.6,28.1,23.0,1.0,, Balanced / Plant-Based 
49.0,1,1.94,76.5,20.3,17.0,2.0,Maintain,Balanced / Plant-Based
45.0,0,1.86,107.9,31.2,32.0,2.0,Muscle Gain, High Protein 
53.0,0,1.86,86.7,25.1,13.0,4.0,Muscle Gain,High Protein
43.0,0,156cm,67.9 kg,27.9,26.0,3.0,MG,High Protein
28.0,0,1.6,103.3,40.4,25.0,1.0,Weight Loss,Low Carb / Low Fat
,1,,77.6,28.5,15.0,1.0,Maintain,Balanced / Plant-Based
55.0,0,1.58,79.5,31.8,24.0,3.0,Muscle Gain,Balanced / Plant-Based
36.0,0,1.86,88.0,25.4,12.0,4.0,Muscle Gain,High Protein
19.0,1,1.51,106.3,46.6,15.0,2.0,Maintain,Balanced / Plant-Based
43.0,1,1.76,73,23.6,31.0,5.0,Weight Loss,Low Carb / Low Fat
26.0,1,1.93,77.8,20.9,12.0,4.0,Weight Loss,Low Carb / Low Fat
51.0,1,1.86,110.2,31.9,27.0,5.0,Maintain,Balanced / Plant-Based
46.0,0,1.65,-200.6,36.8,28.0,5.0,Muscle Gain,high protein
54.0,0,1.63,80.9,30.4,21.0,6.0,Weight Loss,Low Carb / Low Fat
31.0,1,1.59,60.1,23.8,15.0,6.0,Muscle Gain,Balanced / Plant-Based
25.0,0,1.76,114.0,36.8,30.0,,Muscle Gain,High Protein
44.0,0,1.87,83.9,24.0,30.0,2.0,Muscle Gain,High Protein
34.0,0,1.66,70.3,25.5,24.0,1.0,Maintain,
52.0,0,1.63,95.0,35.8,15.0,4.0,,Balanced / Plant-Based
40.0,0,1.97,87.2,22.5,23.0,4.0,Weight Loss,Low Carb / Low Fat
22.0,1,1.73,103.4,34.5,25.0,6.0,Muscle Gain, High Protein 
50.0,0,1.52,56.0,24.2,29.0,4.0,Weight Loss,Balanced / Plant-Based
34.0,1,1.67,98.1,35.2,23.0,6.0,Weight Loss,Low Carb / Low Fat
30.0,0,1.74,78.5,25.9,11.0,1.0,Weight Loss,Low Carb / Low Fat
28.0,1,1.74,63.5,21.0,21.0,5.0,Muscle Gain,HIGH PROTEIN
42.0,1,1.63,83.4,31.4,19.0,3.0,Weight Loss,Low Carb / Low Fat
44.0,0,1.65,75.9,27.9,28.0,6.0,Weight Loss,Balanced / Plant-Based
51.0,0,1.99,58.7,14.8,21.0,2.0,Weight Loss,
57.0,0,1.56,54.7,22.5,15.0,2.0,Maintain,Balanced / Plant-Based
46.0,1,1.53,88.6,37.8,13.0,6.0,Weight Loss,Low Carb / Low Fat
26.0,1,1.72,94,32.0,31.0,4.0,Weight Loss,Low Carb / Low Fat
47.0,0,1.62,60.4,23.0,,6.0,Maintain,Balanced / Plant-Based
41.0,1,1.58,63.5,,19.0,4.0,Muscle Gain, High Protein 
